hr,count,circadian,count,psg_label
0.524519,38.634412,0,38.634412,0
0.514774,31.640606,0.00158,31.640606,0
0.49723,22.570999,0.00316,22.570999,0
0.489079,19.341522,0.00474,19.341522,0
0.482398,21.960207,0.006321,21.960207,0
0.465207,23.748017,0.007901,23.748017,0
0.429916,19.761946,0.009481,19.761946,0
0.396868,11.934657,0.011061,11.934657,0
0.401716,5.16166,0.012641,5.16166,0
0.384375,1.592834,0.014231,1.592834,0
0.331947,0.350075,0.01582,0.350075,0
0.273137,0.054713,0.01741,0.054713,0
0.260579,0.006073,0.018999,0.006073,0
0.263508,0.000497,0.020589,0.000497,0
0.243641,0.000273,0.022178,0.000273,0
0.212001,0.00219,0.023767,0.00219,0
0.223314,0.013705,0.025357,0.013705,0
0.22029,0.06056,0.026946,0.06056,0
0.208484,0.189013,0.028536,0.189013,0
0.207511,0.416834,0.030125,0.416834,0
0.206062,0.649727,0.031715,0.649727,0
0.201097,0.715929,0.033312,0.715929,0
0.204933,0.557694,0.03491,0.557694,0
0.212658,0.307091,0.036507,0.307091,0
0.221325,0.119504,0.038105,0.119504,0
0.236511,0.032854,0.039702,0.032854,0
0.25676,0.006378,0.0413,0.006378,0
0.267025,0.000874,0.042897,0.000874,0
0.268988,0.000084,0.044495,0.000084,0
0.26748,0.000006,0.046092,0.000006,0
0.253778,0,0.04769,0,0
0.228241,0,0.049287,0,0
0.193004,0,0.050885,0,0
0.163761,0,0.052489,0,0
0.158837,0,0.054093,0,1
0.162363,0,0.055697,0,1
0.165342,0,0.057301,0,1
0.164495,0,0.058906,0,1
0.158914,0,0.06051,0,2
0.145891,0,0.062114,0,2
0.128294,0,0.063718,0,2
0.105786,0,0.065323,0,2
0.088337,0,0.066927,0,2
0.078487,0,0.068531,0,2
0.073887,0,0.070135,0,2
0.073276,0,0.071745,0,2
0.07123,0,0.073355,0,2
0.070414,0,0.074965,0,2
0.067168,0,0.076575,0,2
0.066775,0,0.078184,0,2
0.083473,0,0.079794,0,2
0.098581,0,0.081404,0,2
0.114765,0,0.083014,0,2
0.130999,0,0.084623,0,2
0.134968,0,0.086233,0,2
0.136456,0,0.087843,0,2
0.137966,0,0.089453,0,3
0.138705,0,0.091067,0,3
0.132302,0,0.092681,0,3
0.127041,0,0.094295,0,3
0.124914,0,0.095909,0,3
0.1236,0,0.097523,0,3
0.116583,0,0.099137,0,3
0.10599,0,0.100751,0,3
0.100098,0,0.102365,0,3
0.091059,0,0.10398,0,3
0.082278,0,0.105594,0,3
0.066444,0,0.107208,0,3
0.053649,0,0.108822,0,3
0.050579,0,0.110439,0,3
0.053708,0,0.112056,0,3
0.055499,0,0.113673,0,3
0.056115,0,0.115291,0,3
0.054642,0,0.116908,0,3
0.05631,0,0.118525,0,3
0.058325,0,0.120142,0,3
0.058809,0,0.121759,0,3
0.063048,0,0.123377,0,3
0.065648,0,0.124994,0,3
0.066601,0,0.126611,0,3
0.066742,0,0.128228,0,3
0.066419,0,0.129848,0,3
0.065952,0,0.131467,0,3
0.064934,0,0.133086,0,3
0.056801,0,0.134705,0,3
0.043994,0,0.136324,0,3
0.033912,0,0.137943,0,3
0.028167,0,0.139563,0,3
0.027411,0,0.141182,0,3
0.028171,0,0.142801,0,3
0.029567,0,0.14442,0,3
0.032496,0,0.146039,0,3
0.034134,0,0.147659,0,3
0.032642,0,0.149279,0,3
0.032728,0,0.150899,0,3
0.033659,0,0.152519,0,3
0.064332,0,0.154139,0,3
0.073377,0,0.155759,0,3
0.106263,0,0.157379,0,3
0.153178,0,0.158999,0,3
0.174642,0,0.160619,0,3
0.178545,0.000001,0.162239,0.000001,3
0.184129,0.000013,0.163859,0.000013,3
0.22424,0.000158,0.165479,0.000158,3
0.299064,0.00138,0.167099,0.00138,3
0.370384,0.008449,0.168718,0.008449,3
0.38353,0.036278,0.170338,0.036278,3
0.386789,0.109246,0.171958,0.109246,3
0.389119,0.230742,0.173578,0.230742,3
0.391062,0.341835,0.175197,0.341835,3
0.391085,0.35521,0.176817,0.35521,0
0.390261,0.2589,0.178437,0.2589,0
0.389832,0.132358,0.180057,0.132358,0
0.388528,0.04746,0.181676,0.04746,0
0.384961,0.011936,0.183296,0.011936,1
0.380005,0.002105,0.184916,0.002105,2
0.379845,0.00026,0.186536,0.00026,2
0.378751,0.000023,0.188154,0.000023,2
0.355899,0.000001,0.189772,0.000001,2
0.32084,0,0.191391,0,2
0.296526,0,0.193009,0,3
