#,Train Set,Test Set,Accuracy,Sleep Correct,Wake Correct,Sleep Predictive,Wake Predictive,AUC,k,AD_motion,AD_HR,AD_cosine,AD_label
1,"['5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",3509524,0.9299516908212561,0.9834710743801653,0.5490196078431373,0.9394736842105263,0.8235294117647058,0.8965051585372441,0.6215244940419897,"Anderson_ksampResult(statistic=39.264589948749865, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=71.14409163787744, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=165.86114486495515, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=10.173055890080827, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
2,"['3509524', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",5132496,0.7575757575757576,0.7679814385150812,0.6129032258064516,0.9650145772594753,0.15966386554621848,0.8274081281341216,0.16436807596653857,"Anderson_ksampResult(statistic=34.21483131592374, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=19.181918181629978, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=122.01232515269933, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=0.8200168053336662, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.15072532989076734)"
3,"['3509524', '5132496', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",1066528,0.8627450980392157,0.9455081001472754,0.45255474452554745,0.895397489539749,0.6262626262626263,0.9057329907657247,0.4476155938349955,"Anderson_ksampResult(statistic=8.241666495598821, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=83.98198417815152, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=5.018962156079289, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.0034148845515636467)","Anderson_ksampResult(statistic=102.29139223746436, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
4,"['3509524', '5132496', '1066528', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",5498603,0.8787061994609164,0.9199372056514914,0.6285714285714286,0.9376,0.5641025641025641,0.8428945204455408,0.5235241234641894,"Anderson_ksampResult(statistic=16.91009176177864, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=15.369173430707617, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=12.226135785726013, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=43.14221000057167, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
5,"['3509524', '5132496', '1066528', '5498603', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",2638030,0.9060190073917634,0.9478787878787879,0.6229508196721312,0.9444444444444444,0.6386554621848739,0.8923894684550422,0.5768734531178618,"Anderson_ksampResult(statistic=12.892072400919623, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=16.005993264744536, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=2.643643322304802, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.02689061465621312)","Anderson_ksampResult(statistic=33.6736306282961, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
6,"['3509524', '5132496', '1066528', '5498603', '2638030', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",2598705,0.9270588235294117,0.9280575539568345,0.875,0.9974226804123711,0.1891891891891892,0.9028776978417267,0.2891059191712082,"Anderson_ksampResult(statistic=5.89676513800031, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.0016778126632642054)","Anderson_ksampResult(statistic=353.20978402421986, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=-0.9461229067071839, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.25)","Anderson_ksampResult(statistic=61.608244422838155, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
7,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",5383425,0.9722507708119219,0.9828877005347594,0.7105263157894737,0.9881720430107527,0.627906976744186,0.9860118209963411,0.6522470050963003,"Anderson_ksampResult(statistic=65.58269634536853, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=166.9735734835445, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=0.9798957904178904, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.1289599338884038)","Anderson_ksampResult(statistic=32.794904387530195, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
8,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",1455390,0.8782791185729276,0.906896551724138,0.5783132530120482,0.9575242718446602,0.37209302325581395,0.793560448691317,0.3879593847925502,"Anderson_ksampResult(statistic=40.663889089229436, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=151.40665903057499, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=2.0507979514186068, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.046472143433086116)","Anderson_ksampResult(statistic=-1.0735332740876848, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.25)"
9,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",4018081,0.8161616161616162,0.8591885441527446,0.5789473684210527,0.9183673469387755,0.42718446601941745,0.7381610350458484,0.3825138110186569,"Anderson_ksampResult(statistic=20.927361370269033, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=16.319057886587597, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=91.90309448764172, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=41.443186119358906, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
10,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",9961348,0.8014084507042254,0.7925696594427245,0.890625,0.9865125240847784,0.29842931937172773,0.9330979102167183,0.36073613363814006,"Anderson_ksampResult(statistic=49.57133060569514, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=89.74162502837282, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=10.659314562809605, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=-0.7325570878376472, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.25)"
