#,Train Set,Test Set,Accuracy,Sleep Correct,Wake Correct,Sleep Predictive,Wake Predictive,AUC,k,AD_motion,AD_HR,AD_cosine,AD_label
1,"['5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",3509524,0.9347826086956522,0.9807162534435262,0.6078431372549019,0.9468085106382979,0.8157894736842105,0.9495489655917464,0.6609645131938127,39.264589948749865,71.14409163787744,165.86114486495515,10.173055890080827
2,"['3509524', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",5132496,0.9437229437229437,0.9791183294663574,0.45161290322580644,0.9612756264236902,0.6086956521739131,0.9273257989671433,0.4893291386786838,34.21483131592374,19.181918181629978,122.01232515269933,0.8200168053336662
3,"['3509524', '5132496', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",1066528,0.8553921568627451,0.9970544918998527,0.15328467153284672,0.8537200504413619,0.9130434782608695,0.9207937821829011,0.22509617087028588,8.241666495598821,83.98198417815152,5.018962156079289,102.29139223746436
4,"['3509524', '5132496', '1066528', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",5498603,0.8787061994609164,0.9733124018838305,0.3047619047619048,0.8946608946608947,0.6530612244897959,0.8917246019286834,0.3577487545442305,16.91009176177864,15.369173430707617,12.226135785726013,43.14221000057167
5,"['3509524', '5132496', '1066528', '5498603', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",2638030,0.928194297782471,0.9903030303030304,0.5081967213114754,0.9315849486887116,0.8857142857142857,0.9186785891703925,0.6091147477298111,12.892072400919623,16.005993264744536,2.643643322304802,33.6736306282961
6,"['3509524', '5132496', '1066528', '5498603', '2638030', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",2598705,0.9764705882352941,0.9856115107913669,0.5,0.9903614457831326,0.4,0.9098471223021583,0.43257676902536724,5.89676513800031,353.20978402421986,-0.9461229067071839,61.608244422838155
7,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",5383425,0.9928057553956835,0.9967914438502674,0.8947368421052632,0.9957264957264957,0.918918918918919,0.9913312693498452,0.9029260436412354,65.58269634536853,166.9735734835445,0.9798957904178904,32.794904387530195
8,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",1455390,0.9150052465897167,0.9804597701149426,0.2289156626506024,0.9302071973827699,0.5277777777777778,0.7868716244287495,0.2814643817892414,40.663889089229436,151.40665903057499,2.0507979514186068,-1.0735332740876848
9,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",4018081,0.8727272727272727,0.9498806682577565,0.4473684210526316,0.9045454545454545,0.6181818181818182,0.791797512875267,0.4479065238558909,20.927361370269033,16.319057886587597,91.90309448764172,41.443186119358906
10,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",9961348,0.923943661971831,0.9365325077399381,0.796875,0.9789644012944984,0.5543478260869565,0.962437113003096,0.6126646730784773,49.57133060569514,89.74162502837282,10.659314562809605,-0.7325570878376472
11,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",1449548,0.8936651583710408,0.9821428571428571,0.2,0.9058823529411765,0.5882352941176471,0.7405357142857142,0.2557856272838003,6.143888993828005,33.42016327903421,-0.43033240211233525,12.650760860409568
12,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",8258170,0.934984520123839,1.0,0.3225806451612903,0.9329073482428115,1.0,0.907607895124466,0.4626475481264358,17.496465887756504,13.636613584980728,1.3271342326080364,1.4513976753783682
13,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",781756,0.9334016393442623,0.9776536312849162,0.4444444444444444,0.9510869565217391,0.6428571428571429,0.8976205255534865,0.4910141206675225,350.05056710681674,95.62426252939544,0.8208149838321502,-1.3112160989729202
14,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",9106476,0.9009384775808134,0.9862542955326461,0.03488372093023256,0.9120762711864406,0.2,0.7409094541676656,0.033666033793315564,29.83700563879938,96.44538287532662,1.8652808667068885,-0.6253986515013461
