Metric,AD Statistics,Pearson R,P-value,Relationship,Degree,Strength Score (0-4),Is Significant?
Accuracy,AD_motion,-0.269759946576897,0.14221191211508163,(-) Negative,Low,1,0
Accuracy,AD_HR,0.26464790519037784,0.1502232143007653,(+) Positive,Low,1,0
Accuracy,AD_cosine,-0.3563241720490878,0.049123009182384964,(-) Negative,Moderate,2,1
Accuracy,AD_label,-0.06852216148121609,0.7141649943415541,(-) Negative,Low,1,0
Sleep Correct,AD_motion,-0.3975717268566575,0.02677249315178567,(-) Negative,Moderate,2,1
Sleep Correct,AD_HR,0.06916374429686045,0.7116017165864102,(+) Positive,Low,1,0
Sleep Correct,AD_cosine,0.017109495043873976,0.9272117584099506,(+) Positive,Low,1,0
Sleep Correct,AD_label,0.15346549445524546,0.40979998894839614,(+) Positive,Low,1,0
Wake Correct,AD_motion,0.15621613087745434,0.4013560271828515,(+) Positive,Low,1,0
Wake Correct,AD_HR,0.3114091452759528,0.08813867712261043,(+) Positive,Moderate,2,0
Wake Correct,AD_cosine,-0.30342402214418795,0.09704492760367783,(-) Negative,Moderate,2,0
Wake Correct,AD_label,0.22989445887513404,0.21344688589143232,(+) Positive,Low,1,0
Sleep Predictive,AD_motion,0.2033097212542005,0.2726547848065987,(+) Positive,Low,1,0
Sleep Predictive,AD_HR,0.287372658709211,0.116987624311429,(+) Positive,Low,1,0
Sleep Predictive,AD_cosine,-0.5894871640056103,0.00048378801199331186,(-) Negative,High,3,1
Sleep Predictive,AD_label,-0.3379715503962503,0.06294764757018563,(-) Negative,Moderate,2,0
Wake Predictive,AD_motion,-0.24698333337930883,0.18040939530669917,(-) Negative,Low,1,0
Wake Predictive,AD_HR,-0.12714970785276897,0.49547798508948104,(-) Negative,Low,1,0
Wake Predictive,AD_cosine,0.2779015766111586,0.13010139988892586,(+) Positive,Low,1,0
Wake Predictive,AD_label,0.1129238759333967,0.5452880087879001,(+) Positive,Low,1,0
AUC,AD_motion,-0.0405811893764179,0.8284028158926819,(-) Negative,Low,1,0
AUC,AD_HR,0.13200146847492752,0.47903372204050176,(+) Positive,Low,1,0
AUC,AD_cosine,-0.16435145192844958,0.3769686244015842,(-) Negative,Low,1,0
AUC,AD_label,0.2839521065461206,0.12160516663407195,(+) Positive,Low,1,0
k,AD_motion,-0.22032764162873042,0.23364359443386254,(-) Negative,Low,1,0
k,AD_HR,0.05941387456481709,0.7508726033629981,(+) Positive,Low,1,0
k,AD_cosine,-0.013865483211485011,0.9409859692187466,(-) Negative,Low,1,0
k,AD_label,-0.0425942829656546,0.820025422245049,(-) Negative,Low,1,0
