Metric,AD Statistics,Pearson R,P-value,Relationship,Degree,Strength Score (0-4),Is Significant?
Accuracy,AD_motion,-0.09313603040866973,0.6182478268048347,(-) Negative,Low,1,0
Accuracy,AD_HR,0.19767588695643692,0.28644772575179334,(+) Positive,Low,1,0
Accuracy,AD_cosine,-0.3147933757204461,0.08455817345678764,(-) Negative,Moderate,2,0
Accuracy,AD_label,0.4147399502790466,0.02034812914971434,(+) Positive,Moderate,2,1
Wake Correct,AD_motion,0.3030556657273302,0.09747162265272157,(+) Positive,Moderate,2,0
Wake Correct,AD_HR,0.04301703192662056,0.8182686088990555,(+) Positive,Low,1,0
Wake Correct,AD_cosine,-0.2732225801664475,0.13696494149444272,(-) Negative,Low,1,0
Wake Correct,AD_label,0.3656755245738804,0.04307305325252802,(+) Positive,Moderate,2,1
NREM Correct,AD_motion,-0.1937804964704086,0.2962409026207721,(-) Negative,Low,1,0
NREM Correct,AD_HR,0.2206439510281349,0.23295601276539238,(+) Positive,Low,1,0
NREM Correct,AD_cosine,-0.4412507773753656,0.012961323617583759,(-) Negative,Moderate,2,1
NREM Correct,AD_label,0.3718548201094087,0.03941359459565558,(+) Positive,Moderate,2,1
REM Correct,AD_motion,-0.1915512247305592,0.3019396870560421,(-) Negative,Low,1,0
REM Correct,AD_HR,0.21623247190390343,0.24266859747123562,(+) Positive,Low,1,0
REM Correct,AD_cosine,-0.4358500990447155,0.014248432920742366,(-) Negative,Moderate,2,1
REM Correct,AD_label,0.36988625647126144,0.04055120667765523,(+) Positive,Moderate,2,1
k,AD_motion,-0.21320876893028887,0.24947933356004554,(-) Negative,Low,1,0
k,AD_HR,-0.01224470236351451,0.9478743882406091,(-) Negative,Low,1,0
k,AD_cosine,-0.19449895327870648,0.2944189058246607,(-) Negative,Low,1,0
k,AD_label,0.472385989140279,0.007289615160228137,(+) Positive,Moderate,2,1
