Metric,AD Statistics,Pearson R,P-value,Relationship,Degree,Strength Score (0-4),Is Significant?
Accuracy,AD_motion,-0.0800307983780643,0.6686737137581665,(-) Negative,Low,1,0
Accuracy,AD_HR,0.19414498623028317,0.29531567039174933,(+) Positive,Low,1,0
Accuracy,AD_cosine,-0.3325969461340951,0.06752493008617297,(-) Negative,Moderate,2,0
Accuracy,AD_label,0.40163890401432,0.02511787516698561,(+) Positive,Moderate,2,1
Wake Correct,AD_motion,0.2966682307305434,0.10509850220789844,(+) Positive,Low,1,0
Wake Correct,AD_HR,0.16426931288575042,0.37721043843786967,(+) Positive,Low,1,0
Wake Correct,AD_cosine,-0.2750782965371403,0.1342118650418395,(-) Negative,Low,1,0
Wake Correct,AD_label,0.3683965470303403,0.041429491958139254,(+) Positive,Moderate,2,1
NREM Correct,AD_motion,-0.11399287096822652,0.5414649737274002,(-) Negative,Low,1,0
NREM Correct,AD_HR,0.1742371677591918,0.34853056874995564,(+) Positive,Low,1,0
NREM Correct,AD_cosine,-0.5153414219263304,0.0030083372487451306,(-) Negative,High,3,1
NREM Correct,AD_label,0.4380520568094513,0.01371132847044557,(+) Positive,Moderate,2,1
REM Correct,AD_motion,-0.1134514900142672,0.5433995233654867,(-) Negative,Low,1,0
REM Correct,AD_HR,0.1753452756806237,0.34542558742407614,(+) Positive,Low,1,0
REM Correct,AD_cosine,-0.5123493566482703,0.0032115586221209617,(-) Negative,High,3,1
REM Correct,AD_label,0.4338217659022132,0.01475862505107552,(+) Positive,Moderate,2,1
k,AD_motion,-0.0642163821424916,0.7314455144174347,(-) Negative,Low,1,0
k,AD_HR,-0.07717946763499517,0.6798449636356275,(-) Negative,Low,1,0
k,AD_cosine,-0.22442915853257311,0.22483327300261702,(-) Negative,Low,1,0
k,AD_label,0.31050395492775373,0.08911570685005177,(+) Positive,Moderate,2,0
