Metric,AD Statistics,Pearson R,P-value,Relationship,Degree,Strength Score (0-4),Is Significant?
Accuracy,AD_motion,-0.1160732203863802,0.5340615868757121,(-) Negative,Low,1,0
Accuracy,AD_HR,0.19482682177914581,0.2935898052172672,(+) Positive,Low,1,0
Accuracy,AD_cosine,-0.28998671821077937,0.1135476626719471,(-) Negative,Low,1,0
Accuracy,AD_label,0.38870645559015077,0.0306888224244954,(+) Positive,Moderate,2,1
Wake Correct,AD_motion,0.3955873921976893,0.02761152047641679,(+) Positive,Moderate,2,1
Wake Correct,AD_HR,0.1256945064083324,0.5004651781583306,(+) Positive,Low,1,0
Wake Correct,AD_cosine,-0.3598748164131813,0.0467510205783252,(-) Negative,Moderate,2,1
Wake Correct,AD_label,0.36969901507804276,0.040660769917750694,(+) Positive,Moderate,2,1
NREM Correct,AD_motion,-0.1454473498663192,0.4349772556440331,(-) Negative,Low,1,0
NREM Correct,AD_HR,0.18343850358876354,0.3232573946421104,(+) Positive,Low,1,0
NREM Correct,AD_cosine,-0.4966825997387406,0.004480212105105925,(-) Negative,Moderate,2,1
NREM Correct,AD_label,0.46090278092565906,0.009068150763028762,(+) Positive,Moderate,2,1
REM Correct,AD_motion,-0.11890988618869258,0.5240453731141222,(-) Negative,Low,1,0
REM Correct,AD_HR,0.18521585640264188,0.31850947768394333,(+) Positive,Low,1,0
REM Correct,AD_cosine,-0.5189319327891608,0.002779206961797576,(-) Negative,High,3,1
REM Correct,AD_label,0.47710866611974895,0.006649391271412721,(+) Positive,Moderate,2,1
k,AD_motion,-0.20006869602613264,0.2805360291441242,(-) Negative,Low,1,0
k,AD_HR,0.01657626785202343,0.929474550089272,(+) Positive,Low,1,0
k,AD_cosine,-0.28710779305562906,0.11734044916047412,(-) Negative,Low,1,0
k,AD_label,0.36721599585703407,0.042136285285776565,(+) Positive,Moderate,2,1
