Metric,AD Statistics,Pearson R,P-value,Relationship,Degree,Strength Score (0-4),Is Significant?
Accuracy,AD_motion,-0.04790185428717293,0.7980335325296832,(-) Negative,Low,1,0
Accuracy,AD_HR,0.21973800978786545,0.23492894832076677,(+) Positive,Low,1,0
Accuracy,AD_cosine,-0.3306202918498819,0.06927208535027284,(-) Negative,Moderate,2,0
Accuracy,AD_label,0.3806957938003594,0.03461668696111694,(+) Positive,Moderate,2,1
Wake Correct,AD_motion,0.28384043117004987,0.12175816352465378,(+) Positive,Low,1,0
Wake Correct,AD_HR,0.09813519143973987,0.5994367772466502,(+) Positive,Low,1,0
Wake Correct,AD_cosine,-0.3336933346014129,0.0665707509277345,(-) Negative,Moderate,2,0
Wake Correct,AD_label,0.5011487772254931,0.004080990048914537,(+) Positive,High,3,1
NREM Correct,AD_motion,-0.09505545569017335,0.6109963965956146,(-) Negative,Low,1,0
NREM Correct,AD_HR,0.21376293333559626,0.24822173652210386,(+) Positive,Low,1,0
NREM Correct,AD_cosine,-0.5393596475867452,0.0017414233078961077,(-) Negative,High,3,1
NREM Correct,AD_label,0.44411004712016455,0.012320289289206627,(+) Positive,Moderate,2,1
REM Correct,AD_motion,-0.09972462302429948,0.5935079000639891,(-) Negative,Low,1,0
REM Correct,AD_HR,0.20932262782252112,0.25841676520077617,(+) Positive,Low,1,0
REM Correct,AD_cosine,-0.5298354034422332,0.002173337817530861,(-) Negative,High,3,1
REM Correct,AD_label,0.4387065848091183,0.013554978274585818,(+) Positive,Moderate,2,1
k,AD_motion,0.02414636096285647,0.8974090372205105,(+) Positive,Low,1,0
k,AD_HR,-0.017933726022300124,0.9237151722252993,(-) Negative,Low,1,0
k,AD_cosine,-0.22466412344180392,0.22433545846607036,(-) Negative,Low,1,0
k,AD_label,0.28666604170511173,0.11793066051582536,(+) Positive,Low,1,0
