#,Train Set,Test Set,Accuracy,Sleep Correct,Wake Correct,Sleep Predictive,Wake Predictive,AUC,k,AD_motion,AD_HR,AD_cosine,AD_label
1,"['5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",3509524,0.9347826086956522,0.9807162534435262,0.6078431372549019,0.9468085106382979,0.8157894736842105,0.9495489655917464,0.6609645131938127,"Anderson_ksampResult(statistic=39.264589948749865, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=71.14409163787744, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=165.86114486495515, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=10.173055890080827, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
2,"['3509524', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",5132496,0.9437229437229437,0.9791183294663574,0.45161290322580644,0.9612756264236902,0.6086956521739131,0.9273257989671433,0.4893291386786838,"Anderson_ksampResult(statistic=34.21483131592374, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=19.181918181629978, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=122.01232515269933, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=0.8200168053336662, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.15072532989076734)"
3,"['3509524', '5132496', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",1066528,0.8553921568627451,0.9970544918998527,0.15328467153284672,0.8537200504413619,0.9130434782608695,0.9207937821829011,0.22509617087028588,"Anderson_ksampResult(statistic=8.241666495598821, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=83.98198417815152, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=5.018962156079289, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.0034148845515636467)","Anderson_ksampResult(statistic=102.29139223746436, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
4,"['3509524', '5132496', '1066528', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",5498603,0.8787061994609164,0.9733124018838305,0.3047619047619048,0.8946608946608947,0.6530612244897959,0.8917246019286834,0.3577487545442305,"Anderson_ksampResult(statistic=16.91009176177864, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=15.369173430707617, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=12.226135785726013, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=43.14221000057167, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
5,"['3509524', '5132496', '1066528', '5498603', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",2638030,0.928194297782471,0.9903030303030304,0.5081967213114754,0.9315849486887116,0.8857142857142857,0.9186785891703925,0.6091147477298111,"Anderson_ksampResult(statistic=12.892072400919623, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=16.005993264744536, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=2.643643322304802, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.02689061465621312)","Anderson_ksampResult(statistic=33.6736306282961, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
6,"['3509524', '5132496', '1066528', '5498603', '2638030', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",2598705,0.9764705882352941,0.9856115107913669,0.5,0.9903614457831326,0.4,0.9098471223021583,0.43257676902536724,"Anderson_ksampResult(statistic=5.89676513800031, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.0016778126632642054)","Anderson_ksampResult(statistic=353.20978402421986, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=-0.9461229067071839, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.25)","Anderson_ksampResult(statistic=61.608244422838155, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
7,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",5383425,0.9928057553956835,0.9967914438502674,0.8947368421052632,0.9957264957264957,0.918918918918919,0.9913312693498452,0.9029260436412354,"Anderson_ksampResult(statistic=65.58269634536853, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=166.9735734835445, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=0.9798957904178904, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.1289599338884038)","Anderson_ksampResult(statistic=32.794904387530195, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
8,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",1455390,0.9150052465897167,0.9804597701149426,0.2289156626506024,0.9302071973827699,0.5277777777777778,0.7868716244287495,0.2814643817892414,"Anderson_ksampResult(statistic=40.663889089229436, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=151.40665903057499, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=2.0507979514186068, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.046472143433086116)","Anderson_ksampResult(statistic=-1.0735332740876848, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.25)"
9,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",4018081,0.8727272727272727,0.9498806682577565,0.4473684210526316,0.9045454545454545,0.6181818181818182,0.791797512875267,0.4479065238558909,"Anderson_ksampResult(statistic=20.927361370269033, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=16.319057886587597, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=91.90309448764172, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=41.443186119358906, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
10,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",9961348,0.923943661971831,0.9365325077399381,0.796875,0.9789644012944984,0.5543478260869565,0.962437113003096,0.6126646730784773,"Anderson_ksampResult(statistic=49.57133060569514, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=89.74162502837282, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=10.659314562809605, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=-0.7325570878376472, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.25)"
