#,Train Set,Test Set,Accuracy,Sleep Correct,Wake Correct,Sleep Predictive,Wake Predictive,AUC,k,AD_motion,AD_HR,AD_cosine,AD_label
1,"['5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",3509524,0.9202898550724637,0.9449035812672176,0.7450980392156863,0.9634831460674157,0.6551724137931034,0.9477664343974505,0.6515684774292272,"Anderson_ksampResult(statistic=39.264589948749865, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=71.14409163787744, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=165.86114486495515, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=10.173055890080827, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
2,"['3509524', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",5132496,0.7402597402597403,0.7262180974477959,0.9354838709677419,0.9936507936507937,0.19727891156462585,0.9223860489484319,0.2418150488225157,"Anderson_ksampResult(statistic=34.21483131592374, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=19.181918181629978, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=122.01232515269933, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=0.8200168053336662, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.15072532989076734)"
3,"['3509524', '5132496', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",1066528,0.8909313725490197,0.9381443298969072,0.656934306569343,0.9312865497076024,0.6818181818181818,0.8884415682143126,0.6038748527294149,"Anderson_ksampResult(statistic=8.241666495598821, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=83.98198417815152, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=5.018962156079289, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.0034148845515636467)","Anderson_ksampResult(statistic=102.29139223746436, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
4,"['3509524', '5132496', '1066528', '2638030', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",5498603,0.8544474393530997,0.8885400313971743,0.6476190476190476,0.9386401326699834,0.4892086330935252,0.8390222022875083,0.47229648750806674,"Anderson_ksampResult(statistic=16.91009176177864, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=15.369173430707617, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=12.226135785726013, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=43.14221000057167, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
5,"['3509524', '5132496', '1066528', '5498603', '2598705', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",2638030,0.8944033790918691,0.9212121212121213,0.7131147540983607,0.9559748427672956,0.5723684210526315,0.9133929458519623,0.5741715005171095,"Anderson_ksampResult(statistic=12.892072400919623, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=16.005993264744536, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=2.643643322304802, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.02689061465621312)","Anderson_ksampResult(statistic=33.6736306282961, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
6,"['3509524', '5132496', '1066528', '5498603', '2638030', '5383425', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",2598705,0.8870588235294118,0.8896882494004796,0.75,0.9946380697050938,0.11538461538461539,0.8622601918465228,0.1730176747202854,"Anderson_ksampResult(statistic=5.89676513800031, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.0016778126632642054)","Anderson_ksampResult(statistic=353.20978402421986, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=-0.9461229067071839, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.25)","Anderson_ksampResult(statistic=61.608244422838155, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
7,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '1455390', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",5383425,0.9290853031860226,0.9272727272727272,0.9736842105263158,0.9988479262672811,0.3523809523809524,0.9885448916408669,0.48812510006938137,"Anderson_ksampResult(statistic=65.58269634536853, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=166.9735734835445, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=0.9798957904178904, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.1289599338884038)","Anderson_ksampResult(statistic=32.794904387530195, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
8,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '4018081', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",1455390,0.8625393494228751,0.8954022988505748,0.5180722891566265,0.9511599511599511,0.3208955223880597,0.791552416562803,0.3235531570192406,"Anderson_ksampResult(statistic=40.663889089229436, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=151.40665903057499, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=2.0507979514186068, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.046472143433086116)","Anderson_ksampResult(statistic=-1.0735332740876848, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.25)"
9,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '9961348', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",4018081,0.8080808080808081,0.8353221957040573,0.6578947368421053,0.9308510638297872,0.42016806722689076,0.8101212159276474,0.40047426597141655,"Anderson_ksampResult(statistic=20.927361370269033, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=16.319057886587597, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=91.90309448764172, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=41.443186119358906, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)"
10,"['3509524', '5132496', '1066528', '5498603', '2638030', '2598705', '5383425', '1455390', '4018081', '1449548', '8258170', '781756', '9106476', '8686948', '8530312', '3997827', '4314139', '1818471', '4426783', '8173033', '7749105', '5797046', '759667', '8000685', '6220552', '844359', '9618981', '1360686', '46343', '8692923']",9961348,0.8169014084507042,0.8003095975232198,0.984375,0.9980694980694981,0.328125,0.9581438660990712,0.4127901058631922,"Anderson_ksampResult(statistic=49.57133060569514, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=89.74162502837282, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=10.659314562809605, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.001)","Anderson_ksampResult(statistic=-0.7325570878376472, critical_values=array([0.325, 1.226, 1.961, 2.718, 3.752, 4.592, 6.546]), significance_level=0.25)"
