Metric,AD Statistics,Pearson R,P-value,Relationship,Degree,Strength Score (0-4),Is Significant?
Accuracy,AD_motion,-0.38069689932010375,0.03461611812531072,(-) Negative,Moderate,2,1
Accuracy,AD_HR,0.19564156536870675,0.2915359448574254,(+) Positive,Low,1,0
Accuracy,AD_cosine,-0.10572729972589201,0.5713499663756993,(-) Negative,Low,1,0
Accuracy,AD_label,0.03417556213521966,0.8551785280158264,(+) Positive,Low,1,0
Sleep Correct,AD_motion,-0.37826018273312545,0.03588839152123144,(-) Negative,Moderate,2,1
Sleep Correct,AD_HR,0.16441833004186282,0.3767718048177683,(+) Positive,Low,1,0
Sleep Correct,AD_cosine,-0.24130175525733744,0.19096687475230564,(-) Negative,Low,1,0
Sleep Correct,AD_label,-0.06464543683129177,0.7297176145258432,(-) Negative,Low,1,0
Wake Correct,AD_motion,0.0926115059925241,0.6202356182194507,(+) Positive,Low,1,0
Wake Correct,AD_HR,-0.07792961529774933,0.6768993766581409,(-) Negative,Low,1,0
Wake Correct,AD_cosine,0.23838666991573357,0.19654760161854581,(+) Positive,Low,1,0
Wake Correct,AD_label,0.33683637248631554,0.06389359244892553,(+) Positive,Moderate,2,0
Sleep Predictive,AD_motion,0.14605902037343027,0.4330273288921967,(+) Positive,Low,1,0
Sleep Predictive,AD_HR,0.1310076172793048,0.4823790522242184,(+) Positive,Low,1,0
Sleep Predictive,AD_cosine,0.08240669325627734,0.659417835411857,(+) Positive,Low,1,0
Sleep Predictive,AD_label,0.11183224532235402,0.5492050412115582,(+) Positive,Low,1,0
Wake Predictive,AD_motion,-0.2875965099758289,0.11669004991628641,(-) Negative,Low,1,0
Wake Predictive,AD_HR,-0.25175671347101164,0.17186248760765194,(-) Negative,Low,1,0
Wake Predictive,AD_cosine,0.32953349525063785,0.0702475656888957,(+) Positive,Moderate,2,0
Wake Predictive,AD_label,0.1350731245405137,0.4687707607903606,(+) Positive,Low,1,0
AUC,AD_motion,-0.03523635218424105,0.8507326396269992,(-) Negative,Low,1,0
AUC,AD_HR,-0.08730685095919556,0.6404845416132497,(-) Negative,Low,1,0
AUC,AD_cosine,0.19588453109507745,0.2909252356730814,(+) Positive,Low,1,0
AUC,AD_label,0.2964521340896598,0.10536415165067377,(+) Positive,Low,1,0
k,AD_motion,-0.2705160405882664,0.14105390977694812,(-) Negative,Low,1,0
k,AD_HR,-0.22067563843927462,0.23288720683246808,(-) Negative,Low,1,0
k,AD_cosine,0.3176228381480828,0.0816510571274792,(+) Positive,Moderate,2,0
k,AD_label,0.0979733158399724,0.6000420263363927,(+) Positive,Low,1,0
