Metric,AD Statistics,Pearson R,P-value,Relationship,Degree,Strength Score (0-4),Is Significant?
Accuracy,AD_motion,0.22812757225623395,0.2170840130778059,(+) Positive,Low,1,0
Accuracy,AD_HR,0.2636752313268753,0.15178370698744173,(+) Positive,Low,1,0
Accuracy,AD_cosine,-0.6118420482822677,0.0002547697122254745,(-) Negative,High,3,1
Accuracy,AD_label,-0.3240712138931997,0.07531293959252562,(-) Negative,Moderate,2,0
Sleep Correct,AD_motion,0.02435882059254131,0.8965111480481113,(+) Positive,Low,1,0
Sleep Correct,AD_HR,0.08308303528957048,0.6567919128379475,(+) Positive,Low,1,0
Sleep Correct,AD_cosine,-0.03829824440794671,0.8379255567851406,(-) Negative,Low,1,0
Sleep Correct,AD_label,0.07626764916887602,0.6834316178445744,(+) Positive,Low,1,0
Wake Correct,AD_motion,0.23425455164180242,0.20465053513645426,(+) Positive,Low,1,0
Wake Correct,AD_HR,-0.137953224171466,0.4592535695969491,(-) Negative,Low,1,0
Wake Correct,AD_cosine,-0.2744339924512793,0.13516310003746979,(-) Negative,Low,1,0
Wake Correct,AD_label,0.1760822415764989,0.3433698458844595,(+) Positive,Low,1,0
Sleep Predictive,AD_motion,0.2216239637927826,0.23083433312397333,(+) Positive,Low,1,0
Sleep Predictive,AD_HR,0.2538221777939158,0.16825462672232006,(+) Positive,Low,1,0
Sleep Predictive,AD_cosine,-0.5941418904235396,0.00042495536666204613,(-) Negative,High,3,1
Sleep Predictive,AD_label,-0.3233114170931934,0.07603933264460579,(-) Negative,Moderate,2,0
Wake Predictive,AD_motion,0.14522164657011644,0.43569797924525494,(+) Positive,Low,1,0
Wake Predictive,AD_HR,-0.07085095541901879,0.7048756861421845,(-) Negative,Low,1,0
Wake Predictive,AD_cosine,-0.26434719882336155,0.15070440487053688,(-) Negative,Low,1,0
Wake Predictive,AD_label,0.017206873857872604,0.9267985834190353,(+) Positive,Low,1,0
AUC,AD_motion,0.01734095101631979,0.9262297292189899,(+) Positive,Low,1,0
AUC,AD_HR,0.015088085904407376,0.9357925709421094,(+) Positive,Low,1,0
AUC,AD_cosine,0.07327311820042717,0.6952579841926775,(+) Positive,Low,1,0
AUC,AD_label,0.3071552008423201,0.09280217395776291,(+) Positive,Moderate,2,0
k,AD_motion,0.29552614317301357,0.10650819634138084,(+) Positive,Low,1,0
k,AD_HR,-0.09402284134469437,0.6148930953004449,(-) Negative,Low,1,0
k,AD_cosine,-0.35655660070062384,0.04896486843134865,(-) Negative,Moderate,2,1
k,AD_label,0.051727895582797515,0.7822729730837593,(+) Positive,Low,1,0
